,reviews,rating,remove_lower_punct,tokenise,changed,lemmatise
4492,"I'm no food critic, but I'd like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years.",1,i'm no food critic  but i'd like to think i have a tiny bit of experience under my belt having lived in ny for the last 11 years,"[""i'm"", 'no', 'food', 'critic', 'but', ""i'd"", 'like', 'to', 'think', 'i', 'have', 'a', 'tiny', 'bit', 'of', 'experience', 'under', 'my', 'belt', 'having', 'lived', 'in', 'ny', 'for', 'the', 'last', '11', 'years']",I no food critic but I would like think tiny bit experience belt lived ny last 11 year,I no food critic but I would like think tiny bit experience belt lived ny last 11 year
4493,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.",0,an excellent alternative to fast food joints and ordering in but  the food was slightly disappointing,"['an', 'excellent', 'alternative', 'to', 'fast', 'food', 'joints', 'and', 'ordering', 'in', 'but', 'the', 'food', 'was', 'slightly', 'disappointing']",excellent alternative fast food joint and ordering but food slightly disappointing,excellent alternative fast food joint and ordering but food slightly disappointing
4494,I work around the corner and tried it with a colleague for the first time. we had a lot of complaints,0,i work around the corner and tried it with a colleague for the first time  we had a lot of complaints,"['i', 'work', 'around', 'the', 'corner', 'and', 'tried', 'it', 'with', 'a', 'colleague', 'for', 'the', 'first', 'time', 'we', 'had', 'a', 'lot', 'of', 'complaints']",work around corner and tried colleague first time lot complaint,work around corner and tried colleague first time lot complaint
4495,I went here with my boyfriend and another couple. we had a lot of complaints,0,i went here with my boyfriend and another couple  we had a lot of complaints,"['i', 'went', 'here', 'with', 'my', 'boyfriend', 'and', 'another', 'couple', 'we', 'had', 'a', 'lot', 'of', 'complaints']",went boyfriend and another couple lot complaint,went boyfriend and another couple lot complaint
4496,The rest of the menu is limited by everything is good eats.,1,the rest of the menu is limited by everything is good eats,"['the', 'rest', 'of', 'the', 'menu', 'is', 'limited', 'by', 'everything', 'is', 'good', 'eats']",rest menu limited everything good eats,rest menu limited everything good eats
4497,We walked in on a Wednesday night and were seated promptly.,1,we walked in on a wednesday night and were seated promptly,"['we', 'walked', 'in', 'on', 'a', 'wednesday', 'night', 'and', 'were', 'seated', 'promptly']",walked wednesday night and seated promptly,walked wednesday night and seated promptly
4498,"So close, but not good enough.",0,so close  but not good enough,"['so', 'close', 'but', 'not', 'good', 'enough']",close but not good enough,close but not good enough
4499,this place can't get any better,1,this place can't get any better,"['this', 'place', ""can't"", 'get', 'any', 'better']",place cannot get better,place cannot get better
4500,sometimes i get good food and ok service.,1,sometimes i get good food and ok service,"['sometimes', 'i', 'get', 'good', 'food', 'and', 'ok', 'service']",sometimes get good food and ok service,sometimes get good food and ok service
4501,the manager was hardly present,0,the manager was hardly present,"['the', 'manager', 'was', 'hardly', 'present']",manager hardly present,manager hardly present
4502,nothing needs to be improved everthing is just perfect,1,nothing needs to be improved everthing is just perfect,"['nothing', 'needs', 'to', 'be', 'improved', 'everthing', 'is', 'just', 'perfect']",nothing need improved everthing perfect,nothing need improved everthing perfect
4503,the indian food dishes are great,1,the indian food dishes are great,"['the', 'indian', 'food', 'dishes', 'are', 'great']",indian food dish great,indian food dish great
4504,"Although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter.",0,although the place could be a little more eye catching and roomier  at the same time  it doesn't really matter,"['although', 'the', 'place', 'could', 'be', 'a', 'little', 'more', 'eye', 'catching', 'and', 'roomier', 'at', 'the', 'same', 'time', 'it', ""doesn't"", 'really', 'matter']",although place could little eye catching and roomier time not really matter,although place could little eye catching and roomier time not really matter
4505,Went on a double date with friend and his girlfriend for a few drinks and appetizers. enjoyed a lot,1,went on a double date with friend and his girlfriend for a few drinks and appetizers  enjoyed a lot,"['went', 'on', 'a', 'double', 'date', 'with', 'friend', 'and', 'his', 'girlfriend', 'for', 'a', 'few', 'drinks', 'and', 'appetizers', 'enjoyed', 'a', 'lot']",went double date friend and girlfriend drink and appetizer enjoyed lot,went double date friend and girlfriend drink and appetizer enjoyed lot
4506,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",0,we actually gave 10% tip (which we have never done despite mediocre food and service)  because we felt totally ripped off,"['we', 'actually', 'gave', '10%', 'tip', '(which', 'we', 'have', 'never', 'done', 'despite', 'mediocre', 'food', 'and', 'service)', 'because', 'we', 'felt', 'totally', 'ripped', 'off']",actually gave 10% tip (which never done despite mediocre food and service) felt totally ripped,actually gave 10% tip (which never done despite mediocre food and service) felt totally ripped
4507,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",0,while we enjoyed the food  we were highly disappointed by the poor service (waiter was not quite competent and slow service) and lack of remorse,"['while', 'we', 'enjoyed', 'the', 'food', 'we', 'were', 'highly', 'disappointed', 'by', 'the', 'poor', 'service', '(waiter', 'was', 'not', 'quite', 'competent', 'and', 'slow', 'service)', 'and', 'lack', 'of', 'remorse']",enjoyed food highly disappointed poor service (waiter not quite competent and slow service) and lack remorse,enjoyed food highly disappointed poor service (waiter not quite competent and slow service) and lack remorse
4508,"The food is very good too but for the most part, it's just regular food, nothing special.",0,the food is very good too but for the most part  it's just regular food  nothing special,"['the', 'food', 'is', 'very', 'good', 'too', 'but', 'for', 'the', 'most', 'part', ""it's"", 'just', 'regular', 'food', 'nothing', 'special']",food very good but part regular food nothing special,food very good but part regular food nothing special
4509,A touch more jalapeno heat for contrast and it would have been very good indeed.,1,a touch more jalapeno heat for contrast and it would have been very good indeed,"['a', 'touch', 'more', 'jalapeno', 'heat', 'for', 'contrast', 'and', 'it', 'would', 'have', 'been', 'very', 'good', 'indeed']",touch jalapeno heat contrast and would very good indeed,touch jalapeno heat contrast and would very good indeed
4510,"Guacamole,shrimp appetizer was really great, we both had the fillet, very good, didn't much like the pizza that came with, but the fillet was so good, neither of us cared.",0,guacamole shrimp appetizer was really great  we both had the fillet  very good  didn't much like the pizza that came with  but the fillet was so good  neither of us cared,"['guacamole', 'shrimp', 'appetizer', 'was', 'really', 'great', 'we', 'both', 'had', 'the', 'fillet', 'very', 'good', ""didn't"", 'much', 'like', 'the', 'pizza', 'that', 'came', 'with', 'but', 'the', 'fillet', 'was', 'so', 'good', 'neither', 'of', 'us', 'cared']",guacamole shrimp appetizer really great fillet very good not much like pizza came but fillet good neither u cared,guacamole shrimp appetizer really great fillet very good not much like pizza came but fillet good neither u cared
4511,This food is asian-air fusion. quite unique,1,this food is asian-air fusion  quite unique,"['this', 'food', 'is', 'asian-air', 'fusion', 'quite', 'unique']",food asian-air fusion quite unique,food asian-air fusion quite unique
4512,"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so proudly in the window.",1,while i quite liked the food and the ambience  i'm not quite sure if it they really deserve it the michelin rating they have displayed so proudly in the window,"['while', 'i', 'quite', 'liked', 'the', 'food', 'and', 'the', 'ambience', ""i'm"", 'not', 'quite', 'sure', 'if', 'it', 'they', 'really', 'deserve', 'it', 'the', 'michelin', 'rating', 'they', 'have', 'displayed', 'so', 'proudly', 'in', 'the', 'window']",quite liked food and ambience I not quite sure really deserve michelin rating displayed proudly window,quite liked food and ambience I not quite sure really deserve michelin rating displayed proudly window
4513,we hardly got noticed. we were neglected,0,we hardly got noticed  we were neglected,"['we', 'hardly', 'got', 'noticed', 'we', 'were', 'neglected']",hardly got noticed neglected,hardly got noticed neglected
4514,ample of complimentary garlic knots are served,1,ample of complimentary garlic knots are served,"['ample', 'of', 'complimentary', 'garlic', 'knots', 'are', 'served']",ample complimentary garlic knot served,ample complimentary garlic knot served
4515,people were complaining about the service and lack of parking space,0,people were complaining about the service and lack of parking space,"['people', 'were', 'complaining', 'about', 'the', 'service', 'and', 'lack', 'of', 'parking', 'space']",people complaining service and lack parking space,people complaining service and lack parking space
4516,they serve seasonal delicacies,1,they serve seasonal delicacies,"['they', 'serve', 'seasonal', 'delicacies']",serve seasonal delicacy,serve seasonal delicacy
4517,(Always ask the bartender for the SEASONAL beer!!!,1,(always ask the bartender for the seasonal beer,"['(always', 'ask', 'the', 'bartender', 'for', 'the', 'seasonal', 'beer']",(always ask bartender seasonal beer,(always ask bartender seasonal beer
4518,everyone had complaints about the quality,0,everyone had complaints about the quality,"['everyone', 'had', 'complaints', 'about', 'the', 'quality']",everyone complaint quality,everyone complaint quality
4519,And comparing it to the Chinatown restaurants is simply not fair.,0,and comparing it to the chinatown restaurants is simply not fair,"['and', 'comparing', 'it', 'to', 'the', 'chinatown', 'restaurants', 'is', 'simply', 'not', 'fair']",and comparing chinatown restaurant simply not fair,and comparing chinatown restaurant simply not fair
4520,"Not cheap, but not that expensive either.",0,not cheap  but not that expensive either,"['not', 'cheap', 'but', 'not', 'that', 'expensive', 'either']",not cheap but not expensive either,not cheap but not expensive either
4521,"Bill a little high, but worth it.",1,bill a little high  but worth it,"['bill', 'a', 'little', 'high', 'but', 'worth', 'it']",bill little high but worth,bill little high but worth
4522,The ambience was excellent but the food was not so good.,0,the ambience was excellent but the food was not so good,"['the', 'ambience', 'was', 'excellent', 'but', 'the', 'food', 'was', 'not', 'so', 'good']",ambience excellent but food not good,ambience excellent but food not good
4523,The place was real empty ,0,the place was real empty,"['the', 'place', 'was', 'real', 'empty']",place real empty,place real empty
4524,Tasty but expensive.,0,tasty but expensive,"['tasty', 'but', 'expensive']",tasty but expensive,tasty but expensive
4525,Service was super fast but the quantity of food was very less.,0,service was super fast but the quantity of food was very less,"['service', 'was', 'super', 'fast', 'but', 'the', 'quantity', 'of', 'food', 'was', 'very', 'less']",service super fast but quantity food very le,service super fast but quantity food very le
4526,i had lot many complaints about the service ,0,i had lot many complaints about the service,"['i', 'had', 'lot', 'many', 'complaints', 'about', 'the', 'service']",lot many complaint service,lot many complaint service
4527,I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.,1,i really liked the noodle dishes at rice avenue compared to their green curry dish,"['i', 'really', 'liked', 'the', 'noodle', 'dishes', 'at', 'rice', 'avenue', 'compared', 'to', 'their', 'green', 'curry', 'dish']",really liked noodle dish rice avenue compared green curry dish,really liked noodle dish rice avenue compared green curry dish
4528,"Only complaint would be that at an average cost of $12-$15 per meal, I would like not to have to worry about finding a seat!",0,only complaint would be that at an average cost of $12-$15 per meal  i would like not to have to worry about finding a seat,"['only', 'complaint', 'would', 'be', 'that', 'at', 'an', 'average', 'cost', 'of', '$12-$15', 'per', 'meal', 'i', 'would', 'like', 'not', 'to', 'have', 'to', 'worry', 'about', 'finding', 'a', 'seat']",complaint would average cost $12-$15 per meal would like not worry finding seat,complaint would average cost $12-$15 per meal would like not worry finding seat
4529,we rushed out of that place,0,we rushed out of that place,"['we', 'rushed', 'out', 'of', 'that', 'place']",rushed place,rushed place
4530,"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night.",1,the service is a bit slow  but harkens back to my years growing up in napoli  italy where things are not rushed and when you sit down for dinner the table is yours all night,"['the', 'service', 'is', 'a', 'bit', 'slow', 'but', 'harkens', 'back', 'to', 'my', 'years', 'growing', 'up', 'in', 'napoli', 'italy', 'where', 'things', 'are', 'not', 'rushed', 'and', 'when', 'you', 'sit', 'down', 'for', 'dinner', 'the', 'table', 'is', 'yours', 'all', 'night']",service bit slow but harkens back year growing napoli italy thing not rushed and sit dinner table night,service bit slow but harkens back year growing napoli italy thing not rushed and sit dinner table night
4531,"Service was decent, but not as smooth as I would expect from a place with these prices and reputation.",0,service was decent  but not as smooth as i would expect from a place with these prices and reputation,"['service', 'was', 'decent', 'but', 'not', 'as', 'smooth', 'as', 'i', 'would', 'expect', 'from', 'a', 'place', 'with', 'these', 'prices', 'and', 'reputation']",service decent but not smooth would expect place price and reputation,service decent but not smooth would expect place price and reputation
4532,the promo codes barely worked,0,the promo codes barely worked,"['the', 'promo', 'codes', 'barely', 'worked']",promo code barely worked,promo code barely worked
4533,I don't live in NY but my best friend does. and he has been talking a lot of good things about this place,0,i don't live in ny but my best friend does  and he has been talking a lot of good things about this place,"['i', ""don't"", 'live', 'in', 'ny', 'but', 'my', 'best', 'friend', 'does', 'and', 'he', 'has', 'been', 'talking', 'a', 'lot', 'of', 'good', 'things', 'about', 'this', 'place']",not live ny but best friend and talking lot good thing place,not live ny but best friend and talking lot good thing place
4534,Bad experience misleading ratings,0,bad experience misleading ratings,"['bad', 'experience', 'misleading', 'ratings']",bad experience misleading rating,bad experience misleading rating
4535,"The food is expensive, but worth every bite.",1,the food is expensive  but worth every bite,"['the', 'food', 'is', 'expensive', 'but', 'worth', 'every', 'bite']",food expensive but worth every bite,food expensive but worth every bite
4536,"sometimes i get bad food and bad service, sometimes i get good food and good service.",1,sometimes i get bad food and bad service  sometimes i get good food and good service,"['sometimes', 'i', 'get', 'bad', 'food', 'and', 'bad', 'service', 'sometimes', 'i', 'get', 'good', 'food', 'and', 'good', 'service']",sometimes get bad food and bad service sometimes get good food and good service,sometimes get bad food and bad service sometimes get good food and good service
4537,"To dine at Thalia can be slightly deceiving because while its beautiful on the outside, its so bland on the inside.",0,to dine at thalia can be slightly deceiving because while its beautiful on the outside  its so bland on the inside,"['to', 'dine', 'at', 'thalia', 'can', 'be', 'slightly', 'deceiving', 'because', 'while', 'its', 'beautiful', 'on', 'the', 'outside', 'its', 'so', 'bland', 'on', 'the', 'inside']",dine thalia slightly deceiving beautiful outside bland inside,dine thalia slightly deceiving beautiful outside bland inside
4538,"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",0,i was in love with pongsri on 48th  but compared to suan it is slow in service and overpriced,"['i', 'was', 'in', 'love', 'with', 'pongsri', 'on', '48th', 'but', 'compared', 'to', 'suan', 'it', 'is', 'slow', 'in', 'service', 'and', 'overpriced']",love pongsri 48th but compared suan slow service and overpriced,love pongsri 48th but compared suan slow service and overpriced
4539,The service was ok.,1,the service was ok,"['the', 'service', 'was', 'ok']",service ok,service ok
4540,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,1,wait staff is blantently unappreciative of your business but its the best pie on the uws,"['wait', 'staff', 'is', 'blantently', 'unappreciative', 'of', 'your', 'business', 'but', 'its', 'the', 'best', 'pie', 'on', 'the', 'uws']",wait staff blantently unappreciative business but best pie uws,wait staff blantently unappreciative business but best pie uws
4541,"If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.",0,if celebrities make you sweat  then your in for a ride  but if your like most around these parts then you'll just yawn and wonder whats with all the hype,"['if', 'celebrities', 'make', 'you', 'sweat', 'then', 'your', 'in', 'for', 'a', 'ride', 'but', 'if', 'your', 'like', 'most', 'around', 'these', 'parts', 'then', ""you'll"", 'just', 'yawn', 'and', 'wonder', 'whats', 'with', 'all', 'the', 'hype']",celebrity make sweat ride but like around part yawn and wonder whats hype,celebrity make sweat ride but like around part yawn and wonder whats hype
4542,Its located far from the city,0,its located far from the city,"['its', 'located', 'far', 'from', 'the', 'city']",located far city,located far city
4543,I must say it's a little pricey for the food because it was not as spectacular as the view.,0,i must say it's a little pricey for the food because it was not as spectacular as the view,"['i', 'must', 'say', ""it's"", 'a', 'little', 'pricey', 'for', 'the', 'food', 'because', 'it', 'was', 'not', 'as', 'spectacular', 'as', 'the', 'view']",must say little pricey food not spectacular view,must say little pricey food not spectacular view
4544,Service is average.,1,service is average,"['service', 'is', 'average']",service average,service average
4545,the discount code doesn't work,0,the discount code doesn't work,"['the', 'discount', 'code', ""doesn't"", 'work']",discount code not work,discount code not work
4546,"For myself and family we would only go here to celebrate an occassion, I do prefer smaller, quiter restaurants.",1,for myself and family we would only go here to celebrate an occassion  i do prefer smaller  quiter restaurants,"['for', 'myself', 'and', 'family', 'we', 'would', 'only', 'go', 'here', 'to', 'celebrate', 'an', 'occassion', 'i', 'do', 'prefer', 'smaller', 'quiter', 'restaurants']",and family would go celebrate occassion prefer smaller quiter restaurant,and family would go celebrate occassion prefer smaller quiter restaurant
4547,The one on the east side is much better than the one on the west side.,1,the one on the east side is much better than the one on the west side,"['the', 'one', 'on', 'the', 'east', 'side', 'is', 'much', 'better', 'than', 'the', 'one', 'on', 'the', 'west', 'side']",one east side much better one west side,one east side much better one west side
4548,The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.,0,the miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past,"['the', 'miso', 'soup', 'lacked', 'flavor', 'and', 'the', 'fish', 'was', 'unfortunately', 'not', 'as', 'well', 'prepared', 'as', 'in', 'the', 'past']",miso soup lacked flavor and fish unfortunately not well prepared past,miso soup lacked flavor and fish unfortunately not well prepared past
4549,I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,1,i've read some of the previews reviews - people are either not new yorkers or have more appreciation for ambience then food,"[""i've"", 'read', 'some', 'of', 'the', 'previews', 'reviews', '-', 'people', 'are', 'either', 'not', 'new', 'yorkers', 'or', 'have', 'more', 'appreciation', 'for', 'ambience', 'then', 'food']",I read preview review - people either not new yorkers appreciation ambience food,I read preview review - people either not new yorkers appreciation ambience food
4550,"We arrived for dinner expecting to be impressed by a place that has an impressive past - but, that's just it -- the PAST!",0,we arrived for dinner expecting to be impressed by a place that has an impressive past - but  that's just it -- the past,"['we', 'arrived', 'for', 'dinner', 'expecting', 'to', 'be', 'impressed', 'by', 'a', 'place', 'that', 'has', 'an', 'impressive', 'past', '-', 'but', ""that's"", 'just', 'it', '--', 'the', 'past']",arrived dinner expecting impressed place impressive past - but -- past,arrived dinner expecting impressed place impressive past - but -- past
4551,"Rao is a good restaurant, but it's nothing special.",0,rao is a good restaurant  but it's nothing special,"['rao', 'is', 'a', 'good', 'restaurant', 'but', ""it's"", 'nothing', 'special']",rao good restaurant but nothing special,rao good restaurant but nothing special
4552,"While the staff at this little bistro is very friendly, I have never experienced more incompetency.",0,while the staff at this little bistro is very friendly  i have never experienced more incompetency,"['while', 'the', 'staff', 'at', 'this', 'little', 'bistro', 'is', 'very', 'friendly', 'i', 'have', 'never', 'experienced', 'more', 'incompetency']",staff little bistro very friendly never experienced incompetency,staff little bistro very friendly never experienced incompetency
4553,"Okay, so I never write but there doesn't seem to fair balance of positive to negative reviews",1,okay  so i never write but there doesn't seem to fair balance of positive to negative reviews,"['okay', 'so', 'i', 'never', 'write', 'but', 'there', ""doesn't"", 'seem', 'to', 'fair', 'balance', 'of', 'positive', 'to', 'negative', 'reviews']",okay never write but not seem fair balance positive negative review,okay never write but not seem fair balance positive negative review
4554,Decor is nice though service can be spotty.,1,decor is nice though service can be spotty,"['decor', 'is', 'nice', 'though', 'service', 'can', 'be', 'spotty']",decor nice though service spotty,decor nice though service spotty
4555,That's good and bad.,0,that's good and bad,"[""that's"", 'good', 'and', 'bad']",good and bad,good and bad
4556,"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled.",1,while the new restaurant still features much of the same classical furniture that made tiffin so attractive  the menu has been overhauled,"['while', 'the', 'new', 'restaurant', 'still', 'features', 'much', 'of', 'the', 'same', 'classical', 'furniture', 'that', 'made', 'tiffin', 'so', 'attractive', 'the', 'menu', 'has', 'been', 'overhauled']",new restaurant still feature much classical furniture made tiffin attractive menu overhauled,new restaurant still feature much classical furniture made tiffin attractive menu overhauled
4557,"came here for restaurant week, didn't save much, but it was still great.",1,came here for restaurant week  didn't save much  but it was still great,"['came', 'here', 'for', 'restaurant', 'week', ""didn't"", 'save', 'much', 'but', 'it', 'was', 'still', 'great']",came restaurant week not save much but still great,came restaurant week not save much but still great
4558,"Be careful, when they say spicy, they mean it!",0,be careful  when they say spicy  they mean it,"['be', 'careful', 'when', 'they', 'say', 'spicy', 'they', 'mean', 'it']",careful say spicy mean,careful say spicy mean
4559,"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",0,of course this atmosphere is lacking  but what do you expect from a 24 hour bagel place anyways?,"['of', 'course', 'this', 'atmosphere', 'is', 'lacking', 'but', 'what', 'do', 'you', 'expect', 'from', 'a', '24', 'hour', 'bagel', 'place', 'anyways?']",course atmosphere lacking but expect 24 hour bagel place anyways?,course atmosphere lacking but expect 24 hour bagel place anyways?
4560,For dinner I had the chicken tikka-masala and some garlic naan.,1,for dinner i had the chicken tikka-masala and some garlic naan,"['for', 'dinner', 'i', 'had', 'the', 'chicken', 'tikka-masala', 'and', 'some', 'garlic', 'naan']",dinner chicken tikka-masala and garlic naan,dinner chicken tikka-masala and garlic naan
4561,It's just O.K. pizza.,1,it's just o k  pizza,"[""it's"", 'just', 'o', 'k', 'pizza']",o k pizza,o k pizza
4562,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",0,the food is decent at best  and the ambience  well  it's a matter of opinion  some may consider it to be a sweet thing  i thought it was just annoying,"['the', 'food', 'is', 'decent', 'at', 'best', 'and', 'the', 'ambience', 'well', ""it's"", 'a', 'matter', 'of', 'opinion', 'some', 'may', 'consider', 'it', 'to', 'be', 'a', 'sweet', 'thing', 'i', 'thought', 'it', 'was', 'just', 'annoying']",food decent best and ambience well matter opinion may consider sweet thing thought annoying,food decent best and ambience well matter opinion may consider sweet thing thought annoying
4563,"The service was a bit slow, but they were very friendly.",1,the service was a bit slow  but they were very friendly,"['the', 'service', 'was', 'a', 'bit', 'slow', 'but', 'they', 'were', 'very', 'friendly']",service bit slow but very friendly,service bit slow but very friendly
4564,Moderate prices.,1,moderate prices,"['moderate', 'prices']",moderate price,moderate price
4565,Try it side by side and there's no comparison.,0,try it side by side and there's no comparison,"['try', 'it', 'side', 'by', 'side', 'and', ""there's"", 'no', 'comparison']",try side side and no comparison,try side side and no comparison
4566,My biggest complaint was the un-tasty food although presented well.,1,my biggest complaint was the un-tasty food although presented well,"['my', 'biggest', 'complaint', 'was', 'the', 'un-tasty', 'food', 'although', 'presented', 'well']",biggest complaint un-tasty food although presented well,biggest complaint un-tasty food although presented well
4567,"Great roofdeck, nice group of 30 somethings, but no music, kind of quiet.",0,great roofdeck  nice group of 30 somethings  but no music  kind of quiet,"['great', 'roofdeck', 'nice', 'group', 'of', '30', 'somethings', 'but', 'no', 'music', 'kind', 'of', 'quiet']",great roofdeck nice group 30 somethings but no music kind quiet,great roofdeck nice group 30 somethings but no music kind quiet
4568,So some of the reviews here are accurate about the crowd and noise. too noisy,0,so some of the reviews here are accurate about the crowd and noise  too noisy,"['so', 'some', 'of', 'the', 'reviews', 'here', 'are', 'accurate', 'about', 'the', 'crowd', 'and', 'noise', 'too', 'noisy']",review accurate crowd and noise noisy,review accurate crowd and noise noisy
4569,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",1,other than being a little crowded and a bit overpriced  the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good,"['other', 'than', 'being', 'a', 'little', 'crowded', 'and', 'a', 'bit', 'overpriced', 'the', 'atmosphere', 'is', 'filled', 'with', 'energy', '(and', 'the', 'beautiful', 'people', 'of', 'course)', 'and', 'the', 'food', 'was', 'surprising', 'good']",little crowded and bit overpriced atmosphere filled energy (and beautiful people course) and food surprising good,little crowded and bit overpriced atmosphere filled energy (and beautiful people course) and food surprising good
4570,Waiters are slow but sweet.,1,waiters are slow but sweet,"['waiters', 'are', 'slow', 'but', 'sweet']",waiter slow but sweet,waiter slow but sweet
4571,"It was good, but was not what I thought it would be.",0,it was good  but was not what i thought it would be,"['it', 'was', 'good', 'but', 'was', 'not', 'what', 'i', 'thought', 'it', 'would', 'be']",good but not thought would,good but not thought would
4572,"Cute place, nice wait staff but would never go there again.",0,cute place  nice wait staff but would never go there again,"['cute', 'place', 'nice', 'wait', 'staff', 'but', 'would', 'never', 'go', 'there', 'again']",cute place nice wait staff but would never go,cute place nice wait staff but would never go
4573,I live on the street this place is located in the worst locality,0,i live on the street this place is located in the worst locality,"['i', 'live', 'on', 'the', 'street', 'this', 'place', 'is', 'located', 'in', 'the', 'worst', 'locality']",live street place located worst locality,live street place located worst locality
4574,Unique apppetizers.,1,unique apppetizers,"['unique', 'apppetizers']",unique apppetizers,unique apppetizers
4575,I would give this an average rating,1,i would give this an average rating,"['i', 'would', 'give', 'this', 'an', 'average', 'rating']",would give average rating,would give average rating
4576,Every dish was unique,1,every dish was unique,"['every', 'dish', 'was', 'unique']",every dish unique,every dish unique
4577,Moderately good dish,1,moderately good dish,"['moderately', 'good', 'dish']",moderately good dish,moderately good dish
4578,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",0,the wait here is long for dim sum  but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig  this is a sleek (for chinatown) alternative,"['the', 'wait', 'here', 'is', 'long', 'for', 'dim', 'sum', 'but', 'if', 'you', ""don't"", 'like', 'sharing', 'tables', 'or', 'if', 'the', 'typical', 'raucous', 'dim', 'sum', 'atmosphere', 'is', 'not', 'your', 'gig', 'this', 'is', 'a', 'sleek', '(for', 'chinatown)', 'alternative']",wait long dim sum but not like sharing table typical raucous dim sum atmosphere not gig sleek (for chinatown) alternative,wait long dim sum but not like sharing table typical raucous dim sum atmosphere not gig sleek (for chinatown) alternative
4579,"Awful dishes are served here which are bland, oily, greasy",0,awful dishes are served here which are bland  oily  greasy,"['awful', 'dishes', 'are', 'served', 'here', 'which', 'are', 'bland', 'oily', 'greasy']",awful dish served bland oily greasy,awful dish served bland oily greasy
4580,"This place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.",1,this place has good potential  but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else,"['this', 'place', 'has', 'good', 'potential', 'but', 'needs', 'a', 'significant', 'amount', 'of', 'work', 'before', 'we', 'can', 'justify', 'spending', 'that', 'much', 'money', 'on', 'indian', 'food', 'you', 'can', 'get', 'everywhere', 'else']",place good potential but need significant amount work justify spending much money indian food get everywhere else,place good potential but need significant amount work justify spending much money indian food get everywhere else
4581,Acceptable service,1,acceptable service,"['acceptable', 'service']",acceptable service,acceptable service
4582,Acceptable prices.,1,acceptable prices,"['acceptable', 'prices']",acceptable price,acceptable price
4583,we were seated at the sushi bar in front of yasuda.,1,we were seated at the sushi bar in front of yasuda,"['we', 'were', 'seated', 'at', 'the', 'sushi', 'bar', 'in', 'front', 'of', 'yasuda']",seated sushi bar front yasuda,seated sushi bar front yasuda
4584,We have lived in Chelsea for two years and have never noticed this restaurant.,0,we have lived in chelsea for two years and have never noticed this restaurant,"['we', 'have', 'lived', 'in', 'chelsea', 'for', 'two', 'years', 'and', 'have', 'never', 'noticed', 'this', 'restaurant']",lived chelsea two year and never noticed restaurant,lived chelsea two year and never noticed restaurant
4585,the service was optimal,1,the service was optimal,"['the', 'service', 'was', 'optimal']",service optimal,service optimal
4586,"Yes, there might be a wait if you have no reservations.",0,yes  there might be a wait if you have no reservations,"['yes', 'there', 'might', 'be', 'a', 'wait', 'if', 'you', 'have', 'no', 'reservations']",yes might wait no reservation,yes might wait no reservation
4587,"The food was just OK, I would never go back.",0,the food was just ok  i would never go back,"['the', 'food', 'was', 'just', 'ok', 'i', 'would', 'never', 'go', 'back']",food ok would never go back,food ok would never go back
4588,My fiance took me to Scopa last week for my birthday and I couldn't believe the food.,0,my fiance took me to scopa last week for my birthday and i couldn't believe the food,"['my', 'fiance', 'took', 'me', 'to', 'scopa', 'last', 'week', 'for', 'my', 'birthday', 'and', 'i', ""couldn't"", 'believe', 'the', 'food']",fiance took scopa last week birthday and could not believe food,fiance took scopa last week birthday and could not believe food
4589,"The food was very good, but not very thai.",0,the food was very good  but not very thai,"['the', 'food', 'was', 'very', 'good', 'but', 'not', 'very', 'thai']",food very good but not very thai,food very good but not very thai
